Reading List ID,Google Books ID,Apple Books ID,ISBN-13,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
A554788B-736E-4303-B1E7-CED62E5E326A,10oPnprPjcgC,,9780143037750,Postwar,,"Judt, Tony",933,,,"Tony Judt's 'Postwar' makes one lament the overuse of the word 'groundbreaking.' It is an unprecedented accomplishment; the first truly European history of contemporary Europe, from Lisbon to Leningrad, based on research in six languages, covering thirty-four countries across sixty years in a single integrated narrative, using a great deal of material from newly available sources. Tony Judt has drawn on forty years of reading and writing about modern Europe to create a fully rounded, deep account of the continent's recent past. The book integrates international relations, domestic politics, ideas, social change, economic development, and culture - high and low - into a single grand narrative. Every country has its chance to play the lead, and although the big themes are superbly handled - including the cold war, the love/hate relationship with America, cultural and economic malaise and rebirth, and the myth and reality of unification - none of them is allowed to overshadow the rich pageant that is the whole. Vividly and clearly written for the general reader; witty, opinionated, and full of fresh and surprising stories and asides; visually rich and rewarding, with useful and provocative maps, photos, and cartoons throughout, Postwar is a movable feast for lovers of history and lovers of Europe alike.",Europe; History,en,,,,,,,,,
2122739D-110C-4AEA-897C-03A088E404A3,uzJSTIOqdpkC,,9780141920627,City of God,,"Augustine, Saint",1184,,,"St Augustine, bishop of Hippo, was one of the central figures in the history of Christianity, and City of God is one of his greatest theological works. Written as an eloquent defence of the faith at a time when the Roman Empire was on the brink of collapse, it examines the ancient pagan religions of Rome, the arguments of the Greek philosophers and the revelations of the Bible. Pointing the way forward to a citizenship that transcends the best political experiences of the world and offers citizenship that will last for eternity, City of God is one of the most influential documents in the development of Christianity.",Christianity; Essays; History; History & Surveys; Literary Collections; Medieval; Philosophy; Religion; Religious,en,,,,,,,,,
805EC59E-2EB2-4233-84A9-C627D9F8525A,or2uQwqwPlEC,,9780393048469,The Complete Works of Isaac Babel,,"Babelʹ, Isaak",1072,,,"Considered one of the greatest writers of the twentieth century--and the most revered short-story writer since Chekhov--Isaac Babel (1894-1940) left an extraordinary literary legacy that continues to grow, remarkably, more than sixty years after his death in Lubyanka Prison at the hands of Stalin''s secret police. Despite Babel''s celebrated stature--which had already been achieved during his lifetime--the whole of his work, owing to his arrest and the state of affairs in the Soviet Union, was never assembled in one place.This magnificent edition of Babel''s collected work fulfills a lifelong ambition of Babel''s daughter, Nathalie, who has authorized and edited the entire collection, and has collaborated with award-winning translator Peter Constantine in readying the work for publication. Every story or selection included in this volume (147 in total) has been newly edited and translated, beginning with Babel''s first published story, ""Old Shloyme,"" originally published in 1913, and concluding with two scenes from a screenplay that Babel did not live to see made into a film. Included in The Complete Works are stories that will be familiar to Babel enthusiasts, like the ""Red Cavalry"" cycle and his diaries, as well as untranslated stories and other works that appear in English for the first time.To read Babel is to relive the wild and often terrifying swings of twentieth-century Russian history. No writer has conveyed with such emotion and convulsive energy the tragic story of a modern nation that remained a prisoner of its brutal and repressive past. Combining the compassion of Dostoevsky with the mordant wit of Chekhov, Babel injected a daring social criticism and a palpable sexual tension into the literary climate of post-tsarist Russia. In the process, he created a style so vivid, so lacerating, and so utterly hypnotic that his stories have come to define the sanguinary landscape of the Soviet Union in the years between the two world wars.As these stories illustrate, and as Cynthia Ozick insightfully observes in her passionate introduction, Babel was a man of acute contradictions. Born in the cosmopolitan port city of Odessa during the long reign of Alexander II, Babel was quite competent in both Hebrew and Yiddish but, influenced by both Flaubert and Maupassant, wrote his first stories in fluent French. His often comic portrayal of characters--such as the ruthless Jewish mobsters depicted in his Benya Krik stories--resulted from observing them firsthand as a boy in the Moldavanka neighborhood of Odessa. As Ozick notes, the ""breadth and scope of his social compass enabled him to see through the eyes of peasants, soldiers, priests, rabbis, children, artists, actors, women of all classes. . . . He was at once a poet of the city (''the glass sun of Petersburg'') and a lyricist of the countryside (''the walls of sunset collapsing into the sky'').""Arranged sequentially in fourteen sections, The Complete Works traces the entire arc of Babel''s literary career, beginning with early stories, which are followed by The Odessa Stories and The Red Cavalry Stories. Also included are his Reports from St. Petersburg (1918), the remarkable 1920 Diary, and reports from Soviet Georgia and France, where his wife, Evgenia, and his daughter, Nathalie, lived. Many of his later stories (1925-38) reflect a compelling literary quality and abrupt change in style that have challenged translators for years. An accomplished playwright and screenwriter, Babel, at the height of his popularity, began writing for the Soviet cinema as early as the 1920s, and many of these works have never been translated before. This edition also includes a foreword and a biographical afterword by Nathalie Babel, a translator''s preface and annotations throughout by Peter Constantine, and a chronology by Gregory Freidin, regarded as one of the foremost Babel scholars in the world.Unprecedented for both its literary and its scholarly achievement, The Complete Works of Isaac Babel will stand as Babel''s final, most enduring legacy.",European; Fiction; Literary Collections; Short Stories (single author),en,,,,,,,,,
826B4D21-461F-4169-8A37-7C1196C2FD6F,Yk8tAQAAMAAJ,,9780880290692,The Western Intellectual Tradition,,"Bronowski, Jacob; Mazlish, Bruce",522,,,,History; History & Surveys; Modern; Philosophy; Science,en,,,,,,,,,
533F4370-A815-4B47-B6E4-77D122628E07,AW7Gj00YKeIC,,9780307829863,Gold and Iron,,"Stern, Fritz",672,,,"Winner of the Lionel Trilling Award
Nominated for the National Book Award
“A major contribution to our understanding of some of the great themes of modern European history—the relations between Jews and Germans, between economics and politics, between banking and diplomacy.” —James Joll, The New York Times Book Review
“I cannot praise this book too highly. It is a work of original scholarship, both exact and profound. It restores a buried chapter of history and penetrates, with insight and understanding, one of the most disturbing historical problems of modern times.” —Hugh J. Trevor-Roper, London Sunday Times
“[An] extraordinary book, an invaluable contribution to our understanding of Germany in the second half of the nineteenth century.” —Stanley Hoffman, Washington Post Book World
“One of the most important historical works of the past few decades.” —Golo Mann
“In many ways this book resembles the great nineteenth-century novels.” —The Economist",19th Century; Europe; Germany; History; History & Theory; Modern; Political Science,en,,,,,,,,,
3372D895-7553-4479-B5B6-75806AE1583C,eNccHQAACAAJ,,9780719566851,Three Letters from the Andes,,"Fermor, Patrick Leigh",118,,,"In 1971 the celebrated traveller Patrick Leigh Fermor accompanied five friends on a remarkable journey into the high Andes of Peru. His adventure took him from Cuzco to Urubamba, on to Puno and Juli on Lake Titicaca, down to Arequipa and finally back to Lima.

The expedition was led by a writer and poet and the party included a Swiss international skier and jeweller, a social anthropologist from Provence and a Nottinghamshire farming squire - all seasoned mountaineers. The other two participants - the author himself and a botany-loving duke - were complete novices. As the group travelled from Lima into increasingly remote parts of the country, Leigh Fermor captured their experiences in a series of letters to his wife.

Whether recounting the thrill of crossing a glacier, the rigours of campsite life under a blanket of snow, their lively encounters with locals or the strangely moving sight of a lone condor circling in the sky, the author vividly conveys the excitement of discovery and the intense uniqueness of the land.",,en,,,,,,,,,
7450D540-E6BF-4428-BCCA-EAF66A76D737,0iyR85ny_FEC,,9780191516818,The Prince,,"Machiavelli, Niccolò",192,,,"'A prince must not have any other object nor any other thought...but war, its institutions, and its discipline; because that is the only art befitting one who commands.' When Machiavelli's brief treatise on Renaissance statecraft and princely power was posthumously published in 1532, it generated a debate that has raged unabated until the present day. Based upon Machiavelli's first-hand experience as an emissary of the Florentine Republic to the courts of Europe, The Prince analyses the usually violent means by which men seize, retain, and lose political power. Machiavelli added a dimension of incisive realism to one of the major philosophical and political issues of his time, especially the relationship between public deeds and private morality. His book provides a remarkably uncompromising picture of the true nature of power, no matter in what era or by whom it is exercised. This fluent new translation is accompanied by comprehensive notes and an introduction that considers the true purpose of The Prince and dispels some of the myths associated with it. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",Europe; History; History & Theory; Military Science; Political Science; Renaissance; Technology & Engineering,en,,,,,,,,,
D1F2E6A1-0306-4273-9736-59CD9054D694,EEr0cmpV4OIC,,9780061947643,The Problem of Pain,,"Lewis, C. S.",176,,,"In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: “If God is good and all-powerful, why does he allow his creatures to suffer pain?” With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.",Apologetics; Christian Theology; Christianity; Literature & the Arts; Religion; Spirituality,en,,,,,,,,,
10A3D8F9-EA13-4274-81AE-9406C8E6FE2D,3cKoAQAACAAJ,,,Democracy in America,,"Tocqueville, Alexis de",,,,,,en,,,,,,,,,
4450F651-F662-4776-8CB3-CF4B9FA33573,rDQ-DwAAQBAJ,,9780525558804,Crashed,,"Tooze, Adam",720,,,"A NEW YORK TIMES NOTABLE BOOK OF 2018
ONE OF THE ECONOMIST'S BOOKS OF THE YEAR
A NEW YORK TIMES CRITICS' TOP BOOK

""An intelligent explanation of the mechanisms that produced the crisis and the response to it...One of the great strengths of Tooze's book is to demonstrate the deeply intertwined nature of the European and American financial systems.""--The New York Times Book Review

From a prizewinning economic historian, an eye-opening reinterpretation of the 2008 economic crisis (and its ten-year aftermath) as a global event that directly led to the shockwaves being felt around the world today.

In September 2008 President George Bush could still describe the financial crisis as an incident local to Wall Street. In fact it was a dramatic caesura of global significance that spiraled around the world, from the financial markets of the UK and Europe to the factories and dockyards of Asia, the Middle East, and Latin America, forcing a rearrangement of global governance. In the United States and Europe, it caused a fundamental reconsideration of capitalist democracy, eventually leading to the war in the Ukraine, the chaos of Greece, Brexit, and Trump.

It was the greatest crisis to have struck Western societies since the end of the Cold War, but was it inevitable? And is it over? Crashed is a dramatic new narrative resting on original themes: the haphazard nature of economic development and the erratic path of debt around the world; the unseen way individual countries and regions are linked together in deeply unequal relationships through financial interdependence, investment, politics, and force; the ways the financial crisis interacted with the spectacular rise of social media, the crisis of middle-class America, the rise of China, and global struggles over fossil fuels.

Finally, Tooze asks, given this history, what now are the prospects for a liberal, stable, and coherent world order?",Business & Economics; Corporate & Business History; Development; Economic Development; Economic History,en,,,,,,,,,
